iter	F1	Logloss	F1:use_weights=true	F1:use_weights=false	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
0	0.9245394555	0.6049053954	0.9245394555	0.9245394555	0.8853619238	0.8853619238	0.9673447521	0.9673447521
1	0.9270116315	0.5384784067	0.9270116315	0.9270116315	0.8944419322	0.8944419322	0.9620429144	0.9620429144
2	0.9319331123	0.4791341804	0.9319331123	0.9319331123	0.8988929142	0.8988929142	0.9674948817	0.9674948817
3	0.933538295	0.4330358815	0.933538295	0.933538295	0.899351788	0.899351788	0.9704265224	0.9704265224
4	0.9357911238	0.3930317807	0.9357911238	0.9357911238	0.9035143397	0.9035143397	0.9704594275	0.9704594275
5	0.9365576599	0.362648446	0.9365576599	0.9365576599	0.9048596445	0.9048596445	0.9705571145	0.9705571145
6	0.9359109105	0.3352612825	0.9359109105	0.9359109105	0.904800576	0.904800576	0.9692367966	0.9692367966
7	0.9365162795	0.3090864467	0.9365162795	0.9365162795	0.9043547629	0.9043547629	0.9710496631	0.9710496631
8	0.938726867	0.2880570496	0.938726867	0.938726867	0.9048890797	0.9048890797	0.9751936518	0.9751936518
9	0.9393801015	0.2697321043	0.9393801015	0.9393801015	0.9043223415	0.9043223415	0.9772656461	0.9772656461
10	0.941453062	0.2528784371	0.941453062	0.941453062	0.9059890903	0.9059890903	0.9798065385	0.9798065385
11	0.9415687029	0.2388211161	0.9415687029	0.9415687029	0.90656071	0.90656071	0.9793890547	0.9793890547
12	0.9452373616	0.2241098502	0.9452373616	0.9452373616	0.9119937136	0.9119937136	0.9809962642	0.9809962642
13	0.9457860908	0.2163755124	0.9457860908	0.9457860908	0.9135982889	0.9135982889	0.9803247941	0.9803247941
14	0.9469034282	0.2072500072	0.9469034282	0.9469034282	0.915502802	0.915502802	0.9805345643	0.9805345643
15	0.9474609977	0.1989334185	0.9474609977	0.9474609977	0.915235233	0.915235233	0.9820389453	0.9820389453
16	0.9470290161	0.1923417647	0.9470290161	0.9470290161	0.9151044449	0.9151044449	0.9812615618	0.9812615618
17	0.9476657103	0.1856084754	0.9476657103	0.9476657103	0.9167249758	0.9167249758	0.980767985	0.980767985
18	0.9485241871	0.1778636417	0.9485241871	0.9485241871	0.9177289007	0.9177289007	0.9814579642	0.9814579642
