iter	Passed	Remaining
0	452	451588
1	834	416291
2	1177	391217
3	1561	388885
4	2045	407000
5	2459	407432
6	2836	402425
7	3230	400618
8	3549	390892
9	3872	383425
10	4385	394320
11	4733	389747
12	5097	387040
13	5605	394773
14	6051	397349
15	6473	398136
16	6981	403680
17	7344	400671
18	7761	400716
19	8257	404617
20	8609	401371
21	8971	398843
22	9436	400839
23	9789	398097
24	10137	395361
25	10630	398230
26	10980	395687
27	11319	392945
28	11800	395114
29	12263	396533
30	12704	397131
31	13229	400189
32	13598	398487
33	13973	397023
34	14690	405028
35	15060	403284
36	15437	401803
37	15908	402738
38	16267	400838
39	16604	398509
40	17035	398463
41	17464	398361
42	17858	397466
43	18356	398828
44	18830	399617
45	19214	398484
46	19695	399365
47	20055	397766
48	20457	397047
49	20907	397248
50	21322	396759
51	21734	396233
52	22246	397494
53	22598	395888
54	22960	394508
55	23438	395100
56	23920	395730
57	24366	395747
58	24873	396713
59	25336	396940
60	25702	395646
61	26198	396351
62	26600	395636
63	27012	395061
64	27506	395670
65	27881	394565
66	28263	393573
67	28701	393380
68	29175	393660
69	29603	393298
70	30200	395152
71	30662	395203
72	31104	394988
73	31629	395793
74	31994	394602
75	32456	394608
76	32843	393694
77	33248	393016
78	33647	392270
79	34180	393080
80	34595	392513
81	34992	391739
82	35425	391387
83	35791	390298
84	36243	390154
85	36809	391210
86	37259	391012
87	37821	391971
88	38196	390976
89	38601	390301
90	39320	392771
91	39704	391868
92	40129	391368
93	40646	391762
94	41014	390712
95	41398	389836
96	41870	389780
97	42302	389356
98	42669	388332
99	43257	389319
100	43734	389278
101	44117	388404
102	44598	388394
103	45005	387738
104	45429	387233
105	45972	387728
106	46330	386662
107	46699	385705
108	47136	385310
109	47506	384368
110	47903	383655
111	48379	383584
112	48823	383245
113	49236	382658
114	49808	383308
115	50248	382925
116	50694	382595
117	51186	382594
118	51594	381969
119	51963	381068
120	52484	381272
121	52821	380139
122	53199	379315
123	53677	379202
124	54089	378625
125	54404	377380
126	54749	376350
127	55220	376187
128	55559	375132
129	56009	374830
130	56444	374426
131	56802	373522
132	57253	373223
133	57778	373405
134	58077	372125
135	58493	371606
136	59032	371861
137	59477	371520
138	59884	370939
139	60259	370166
140	60676	369651
141	61022	368716
142	61530	368753
143	61933	368159
144	62283	367257
145	62744	367010
146	63096	366132
147	63436	365190
148	64135	366305
149	64529	365666
150	64907	364941
151	65481	365316
152	65873	364672
153	66241	363896
154	66701	363631
155	67080	362920
156	67533	362618
157	67999	362374
158	68385	361711
159	68795	361174
160	69224	360738
161	69622	360148
162	69981	359350
163	70534	359556
164	70979	359197
165	71398	358710
166	71934	358812
167	72400	358553
168	72947	358692
169	73326	358005
170	73676	357181
171	74163	357017
172	74511	356192
173	74859	355365
174	75296	354969
175	75720	354510
176	76103	353861
177	76543	353477
178	77055	353422
179	77495	353032
180	78083	353319
181	78496	352800
182	78881	352162
183	79398	352115
184	79715	351179
185	80121	350640
186	80562	350254
187	80967	349712
188	81338	349022
189	81867	349016
190	82214	348226
191	82580	347527
192	82936	346785
193	83455	346727
194	83920	346439
195	84381	346136
196	84784	345594
197	85172	344992
198	85567	344421
199	86018	344073
200	86383	343385
201	86820	342983
202	87549	343727
203	87959	343215
204	88487	343159
205	88908	342687
206	89323	342191
207	89858	342151
208	90283	341693
209	90674	341107
210	91265	341274
211	91678	340769
212	92064	340161
213	92602	340120
214	92949	339374
215	93329	338751
216	93845	338620
217	94237	338043
218	94614	337416
219	95131	337284
220	95544	336784
221	95910	336119
222	96483	336178
223	96928	335787
224	97379	335418
225	97898	335280
226	98292	334713
227	98639	333989
228	99095	333636
229	99478	333035
230	99918	332628
231	100425	332444
232	100782	331759
233	101138	331078
234	101546	330565
235	102007	330227
236	102372	329577
237	102759	329002
238	103340	329048
239	103717	328437
240	104223	328238
241	104679	327879
242	105130	327504
243	105623	327259
244	106000	326654
245	106417	326175
246	106949	326045
247	107341	325488
248	107672	324747
249	108337	325012
250	108758	324543
251	109181	324078
252	109617	323653
253	110112	323401
254	110540	322951
255	111092	322863
256	111455	322223
257	111858	321701
258	112376	321509
259	112700	320764
260	113079	320176
261	113578	319926
262	114009	319487
263	114409	318958
264	114870	318602
265	115375	318366
266	115855	318059
267	116485	318163
268	116850	317539
269	117260	317038
270	117751	316755
271	118139	316197
272	118508	315589
273	119045	315426
274	119347	314643
275	119699	313993
276	120188	313704
277	120548	313080
278	120944	312548
279	121312	311947
280	121894	311893
281	122358	311536
282	122889	311348
283	123255	310743
284	123591	310061
285	123943	309425
286	124450	309175
287	124833	308616
288	125225	308081
289	125661	307652
290	126054	307123
291	126509	306741
292	127012	306477
293	127368	305856
294	127756	305317
295	128191	304888
296	128580	304350
297	129017	303926
298	129669	304008
299	130043	303434
300	130434	302902
301	130919	302587
302	131301	302036
303	131741	301619
304	132267	301397
305	132713	300989
306	133238	300762
307	133609	300187
308	133980	299612
309	134433	299221
310	134892	298844
311	135318	298394
312	135770	298001
313	136139	297425
314	136544	296930
315	136901	296331
316	137440	296126
317	137829	295596
318	138226	295085
319	138630	294590
320	138948	293912
321	139345	293404
322	139817	293054
323	140137	292385
324	140563	291939
325	141132	291789
326	141561	291347
327	141924	290772
328	142481	290592
329	142834	289996
330	143272	289574
331	143825	289383
332	144179	288792
333	144490	288115
334	144988	287813
335	145385	287309
336	145842	286924
337	146328	286595
338	146677	285999
339	147138	285622
340	147677	285394
341	148146	285030
342	148594	284624
343	149005	284150
344	149396	283636
345	150086	283689
346	150523	283261
347	150930	282778
348	151377	282369
349	151832	281973
350	152200	281419
351	152571	280869
352	153023	280471
353	153419	279968
354	153867	279561
355	154354	279226
356	154759	278740
357	155188	278298
358	155665	277943
359	156009	277349
360	156375	276797
361	156905	276535
362	157292	276019
363	157723	275583
364	158271	275348
365	158730	274958
366	159314	274784
367	159730	274320
368	160176	273906
369	160786	273770
370	161204	273309
371	161615	272835
372	162299	272820
373	162845	272569
374	163311	272186
375	163861	271939
376	164289	271490
377	164826	271222
378	165384	270986
379	165848	270595
380	166500	270508
381	167050	270255
382	167725	270200
383	168276	269942
384	168816	269667
385	169457	269550
386	169939	269180
387	170806	269416
388	171355	269146
389	171801	268714
390	172476	268640
391	172935	268225
392	173427	267863
393	173971	267581
394	174484	267248
395	175030	266965
396	175487	266546
397	175967	266162
398	176530	265902
399	176999	265498
400	177408	265006
401	177973	264747
402	178455	264362
403	179057	264154
404	179518	263737
405	180048	263420
406	180623	263168
407	181131	262817
