iter	F1	Logloss	F1:use_weights=true	F1:use_weights=false	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
31	0.9626354616	0.1244173338	0.9626354616	0.9626354616	0.9409670463	0.9409670463	0.9853253518	0.9853253518
32	0.96348436	0.1233902829	0.96348436	0.96348436	0.9426767572	0.9426767572	0.9852312638	0.9852312638
33	0.9638049552	0.1220666884	0.9638049552	0.9638049552	0.943628918	0.943628918	0.9848626238	0.9848626238
34	0.9648214206	0.1202417353	0.9648214206	0.9648214206	0.9445114239	0.9445114239	0.9860240711	0.9860240711
35	0.9654077538	0.1184306961	0.9654077538	0.9654077538	0.946065436	0.946065436	0.985557487	0.985557487
36	0.9659138679	0.1160586661	0.9659138679	0.9659138679	0.9473187392	0.9473187392	0.9852536289	0.9852536289
37	0.9664344393	0.1152838399	0.9664344393	0.9664344393	0.9482706921	0.9482706921	0.9853076139	0.9853076139
38	0.9669661692	0.113470961	0.9669661692	0.9669661692	0.9493380515	0.9493380515	0.9852613411	0.9852613411
39	0.9676457592	0.1125153559	0.9676457592	0.9676457592	0.9504903948	0.9504903948	0.9854317792	0.9854317792
40	0.9681832385	0.1100901989	0.9681832385	0.9681832385	0.9512643856	0.9512643856	0.9857148145	0.9857148145
41	0.9683771701	0.1076653952	0.9683771701	0.9683771701	0.9518618226	0.9518618226	0.9854757384	0.9854757384
42	0.9688548755	0.1066668637	0.9688548755	0.9688548755	0.9528387152	0.9528387152	0.9854186686	0.9854186686
43	0.9692858134	0.106101136	0.9692858134	0.9692858134	0.9535737525	0.9535737525	0.9855243248	0.9855243248
44	0.9697223292	0.1054381864	0.9697223292	0.9697223292	0.9542578378	0.9542578378	0.9856963054	0.9856963054
45	0.9703685237	0.1047898876	0.9703685237	0.9703685237	0.9551140654	0.9551140654	0.9861181591	0.9861181591
46	0.9708993554	0.1040638204	0.9708993554	0.9708993554	0.955987325	0.955987325	0.98628397	0.98628397
47	0.9712254197	0.10237417	0.9712254197	0.9712254197	0.9564797976	0.9564797976	0.9864328142	0.9864328142
48	0.9715328913	0.1013503496	0.9715328913	0.9715328913	0.9570691331	0.9570691331	0.9864405263	0.9864405263
49	0.9718202265	0.100897432	0.9718202265	0.9718202265	0.9575702951	0.9575702951	0.986500681	0.986500681
50	0.9723074888	0.09879198163	0.9723074888	0.9723074888	0.9584754138	0.9584754138	0.9865446401	0.9865446401
51	0.9721399194	0.09718362166	0.9721399194	0.9721399194	0.95881782	0.95881782	0.9858374375	0.9858374375
52	0.9725239743	0.09645135713	0.9725239743	0.9725239743	0.9594031589	0.9594031589	0.9860086468	0.9860086468
53	0.9727979782	0.09521056914	0.9727979782	0.9727979782	0.9597853638	0.9597853638	0.986168288	0.986168288
54	0.9729956175	0.09386890171	0.9729956175	0.9729956175	0.9602623492	0.9602623492	0.9860711151	0.9860711151
55	0.9733512628	0.09290788765	0.9733512628	0.9733512628	0.9609114499	0.9609114499	0.9861173879	0.9861173879
56	0.9738137664	0.09188828531	0.9738137664	0.9738137664	0.9614885897	0.9614885897	0.9864590355	0.9864590355
57	0.9743729721	0.0904805714	0.9743729721	0.9743729721	0.962109975	0.962109975	0.986952612	0.986952612
58	0.9744058807	0.08985339042	0.9744058807	0.9744058807	0.9624014791	0.9624014791	0.9867135359	0.9867135359
59	0.9746949628	0.0881447994	0.9746949628	0.9746949628	0.9630383791	0.9630383791	0.9866371857	0.9866371857
60	0.9749756501	0.08758062864	0.9749756501	0.9749756501	0.9636189294	0.9636189294	0.9866032524	0.9866032524
61	0.9752598241	0.08666585108	0.9752598241	0.9752598241	0.9641646971	0.9641646971	0.9866132781	0.9866132781
62	0.9756742847	0.08534619606	0.9756742847	0.9756742847	0.964702388	0.964702388	0.9868986271	0.9868986271
63	0.9760555486	0.0849057728	0.9760555486	0.9760555486	0.9652880432	0.9652880432	0.9870659804	0.9870659804
64	0.9764584552	0.08432081976	0.9764584552	0.9764584552	0.9659214041	0.9659214041	0.9872279352	0.9872279352
65	0.9767716686	0.08376854978	0.9767716686	0.9767716686	0.9663675708	0.9663675708	0.9874022294	0.9874022294
66	0.9769862368	0.0833536268	0.9769862368	0.9769862368	0.9668387248	0.9668387248	0.9873490157	0.9873490157
67	0.9770642675	0.08185482864	0.9770642675	0.9770642675	0.9672232235	0.9672232235	0.9871076259	0.9871076259
68	0.9775554359	0.08097561446	0.9775554359	0.9775554359	0.9676312833	0.9676312833	0.9876852647	0.9876852647
69	0.9776221763	0.08048555262	0.9776221763	0.9776221763	0.9679420647	0.9679420647	0.9874978599	0.9874978599
70	0.9779294952	0.07996831472	0.9779294952	0.9779294952	0.9683608574	0.9683608574	0.9876891208	0.9876891208
71	0.9781079595	0.07929313671	0.9781079595	0.9781079595	0.9686960613	0.9686960613	0.9877045451	0.9877045451
72	0.9783721665	0.0786532276	0.9783721665	0.9783721665	0.9691105494	0.9691105494	0.9878125149	0.9878125149
73	0.978624569	0.07773340395	0.978624569	0.978624569	0.9695836774	0.9695836774	0.9878356513	0.9878356513
74	0.9787409147	0.07649261974	0.9787409147	0.9787409147	0.9698604371	0.9698604371	0.9877855225	0.9877855225
