iter	Passed	Remaining
0	397	397254
1	845	422066
2	1552	515982
3	1991	495942
4	2530	503474
5	2911	482356
6	3312	469863
7	3770	467522
8	4214	464026
9	4624	457843
10	5006	450146
11	5527	455103
12	5958	452388
13	6502	457953
14	6947	456199
15	7443	457781
16	7995	462329
17	8502	463880
18	8916	460385
19	9401	460675
20	9823	457946
21	10225	454561
22	10717	455280
23	11226	456542
24	11640	453996
25	12091	452977
26	12838	462656
27	13222	458993
28	13673	457833
29	14312	462781
30	14780	462018
31	15377	465158
32	15976	468150
33	16440	467089
34	16995	468580
35	17394	465792
36	17865	464986
37	18421	466363
38	18852	464533
39	19351	464426
40	19863	464623
41	20355	464309
42	20894	465026
43	21389	464727
44	21773	462087
45	22277	462013
46	22797	462246
47	23253	461194
48	23795	461819
49	24239	460559
50	24613	458009
51	25049	456666
52	25613	457667
53	26078	456856
54	26585	456791
55	27279	459859
56	27705	458357
57	28544	463604
58	28987	462325
59	29489	462007
60	30106	463435
61	30540	462043
62	31056	461907
63	31618	462425
64	32028	460719
65	32569	460911
66	33060	460374
67	33549	459822
68	34176	461138
69	34582	459455
70	35037	458452
71	35633	459280
72	36072	458068
73	36668	458847
74	37136	458021
75	37586	456978
76	38204	457962
77	38615	456457
78	39039	455135
79	39749	457120
80	40358	457896
81	40951	458452
82	41440	457847
83	41923	457168
84	42531	457834
85	42952	456492
86	43646	458037
87	44151	457572
88	44522	455727
89	45002	455028
90	45591	455417
91	46077	454763
92	46646	454930
93	47199	454918
94	47679	454211
95	48383	455610
96	48926	455468
97	49616	456672
98	50092	455891
99	50603	455428
100	51289	456523
101	51772	455799
102	52248	455022
103	52818	455048
104	53272	454087
105	53709	452984
106	54334	453463
107	54725	451989
108	55196	451195
109	55665	450383
110	56089	449217
111	56610	448842
112	57097	448189
113	57465	446616
114	58049	446726
115	58488	445722
116	58929	444742
117	59688	446145
118	60187	445588
119	60513	443763
120	60934	442653
121	61493	442550
122	61852	441011
123	62269	439906
124	62826	439787
125	63270	438874
126	63673	437691
127	64167	437140
128	64641	436457
129	65223	436496
130	65876	436997
131	66284	435870
132	67017	436876
133	67453	435934
134	67854	434773
135	68440	434801
136	68903	434040
137	69440	433748
138	69960	433352
139	70392	432409
140	70862	431705
141	71469	431834
142	71965	431288
143	72622	431698
144	73087	430962
145	73504	429953
146	74119	430093
147	74505	428908
148	75221	429619
149	75782	429436
150	76262	428785
151	76787	428393
152	77261	427718
153	77686	426771
154	78231	426490
155	78898	426860
156	79313	425868
157	79886	425723
158	80377	425143
159	80820	424307
160	81463	424519
161	81865	423479
162	82362	422928
163	82925	422718
164	83431	422215
165	83955	421801
166	84569	421832
167	85019	421049
168	85632	421068
169	86055	420154
170	86549	419586
171	87158	419575
172	87627	418890
173	88160	418510
174	88819	418719
175	89283	418009
176	90217	419486
177	90680	418759
178	91220	418389
179	91834	418356
180	92281	417559
181	92827	417214
182	93337	416704
183	93818	416065
184	94404	415888
185	94912	415371
186	95402	414770
187	95996	414621
188	96458	413905
189	97021	413619
190	97549	413181
191	97970	412293
192	98439	411609
193	98969	411182
194	99359	410178
195	99839	409545
196	100405	409266
197	100853	408507
198	101267	407613
199	101829	407318
200	102231	406382
201	102754	405931
202	103332	405695
203	103936	405554
204	104795	406403
205	105185	405424
206	105582	404479
207	106035	403749
208	106524	403163
209	106908	402181
210	107429	401715
211	107988	401389
212	108412	400566
213	108940	400128
214	109435	399566
215	109918	398964
216	110604	399092
217	111051	398357
218	111515	397687
219	112117	397506
220	112576	396819
221	113204	396725
