iter	F1	Logloss	F1:use_weights=true	F1:use_weights=false	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
0	0.924276615	0.6114535521	0.924276615	0.924276615	0.8856842631	0.8856842631	0.9663853967	0.9663853967
1	0.9268653321	0.5391869557	0.9268653321	0.9268653321	0.8911387864	0.8911387864	0.9655761372	0.9655761372
2	0.9310980887	0.4787268173	0.9310980887	0.9310980887	0.8918119653	0.8918119653	0.974004981	0.974004981
3	0.9356380335	0.4254917696	0.9356380335	0.9356380335	0.9013283962	0.9013283962	0.9726630704	0.9726630704
4	0.9356701353	0.3892924373	0.9356701353	0.9356701353	0.9020158912	0.9020158912	0.9719329888	0.9719329888
5	0.9362139032	0.3573231151	0.9362139032	0.9362139032	0.902685669	0.902685669	0.9723288781	0.9723288781
6	0.9376114858	0.3275502524	0.9376114858	0.9376114858	0.9031616053	0.9031616053	0.9747936748	0.9747936748
7	0.9366715265	0.3007678171	0.9366715265	0.9366715265	0.9000331744	0.9000331744	0.9764193918	0.9764193918
8	0.940528855	0.2795418019	0.940528855	0.940528855	0.9039620138	0.9039620138	0.980178798	0.980178798
9	0.9403613013	0.2620150548	0.9403613013	0.9403613013	0.9037915168	0.9037915168	0.9800153009	0.9800153009
10	0.9417691936	0.2494744556	0.9417691936	0.9417691936	0.9060744551	0.9060744551	0.9803916528	0.9803916528
11	0.9432896623	0.2359118617	0.9432896623	0.9432896623	0.9083894017	0.9083894017	0.980978803	0.980978803
12	0.9451879315	0.2168702245	0.9451879315	0.9451879315	0.9105702523	0.9105702523	0.9825417946	0.9825417946
13	0.9458206254	0.2078620083	0.9458206254	0.9458206254	0.9102857333	0.9102857333	0.9842425763	0.9842425763
14	0.9463048519	0.2015041966	0.9463048519	0.9463048519	0.9114654032	0.9114654032	0.9839135254	0.9839135254
15	0.9464709288	0.1920932338	0.9464709288	0.9464709288	0.9130195468	0.9130195468	0.9824667299	0.9824667299
16	0.9477947273	0.1785533434	0.9477947273	0.9477947273	0.9147751569	0.9147751569	0.9832873005	0.9832873005
17	0.9479778359	0.1717454822	0.9479778359	0.9479778359	0.9153944197	0.9153944197	0.9829664759	0.9829664759
18	0.9491168561	0.16777618	0.9491168561	0.9491168561	0.9173597252	0.9173597252	0.983151567	0.983151567
19	0.9499976652	0.1626191858	0.9499976652	0.9499976652	0.9189556479	0.9189556479	0.9832101792	0.9832101792
20	0.9509439293	0.1585845406	0.9509439293	0.9509439293	0.9209898264	0.9209898264	0.9829119768	0.9829119768
21	0.9524313665	0.1550502783	0.9524313665	0.9524313665	0.9233968305	0.9233968305	0.9833510541	0.9833510541
22	0.9528426927	0.149951131	0.9528426927	0.9528426927	0.9253122405	0.9253122405	0.982061586	0.982061586
23	0.9548339391	0.1443495835	0.9548339391	0.9548339391	0.9274321272	0.9274321272	0.9839042709	0.9839042709
24	0.9549577165	0.1423049086	0.9549577165	0.9549577165	0.9280655194	0.9280655194	0.9834549108	0.9834549108
25	0.9560239209	0.1381459854	0.9560239209	0.9560239209	0.929803146	0.929803146	0.9837664808	0.9837664808
26	0.9565545584	0.1350095618	0.9565545584	0.9565545584	0.9307642693	0.9307642693	0.9838148102	0.9838148102
27	0.9572762215	0.1334619311	0.9572762215	0.9572762215	0.9322656786	0.9322656786	0.983665709	0.983665709
28	0.957979407	0.1310258086	0.957979407	0.957979407	0.9334522951	0.9334522951	0.9838302344	0.9838302344
29	0.9588305983	0.1299103459	0.9588305983	0.9588305983	0.9355330391	0.9355330391	0.983318149	0.983318149
30	0.95921405	0.1277553285	0.95921405	0.95921405	0.9361934987	0.9361934987	0.9833952703	0.9833952703
31	0.9598660159	0.1265684059	0.9598660159	0.9598660159	0.9377898809	0.9377898809	0.983006579	0.983006579
32	0.9606825478	0.1254277672	0.9606825478	0.9606825478	0.9394532671	0.9394532671	0.9828934677	0.9828934677
33	0.9616967936	0.1229191153	0.9616967936	0.9616967936	0.9413158346	0.9413158346	0.9829798436	0.9829798436
34	0.9630300753	0.1210098593	0.9630300753	0.9630300753	0.9437213756	0.9437213756	0.9831453973	0.9831453973
35	0.9635519671	0.1196753659	0.9635519671	0.9635519671	0.9449066175	0.9449066175	0.9829479668	0.9829479668
36	0.9640116584	0.1184519599	0.9640116584	0.9640116584	0.9459806966	0.9459806966	0.9827433383	0.9827433383
37	0.9647261511	0.1158060126	0.9647261511	0.9647261511	0.9466859617	0.9466859617	0.9834672502	0.9834672502
38	0.9662261736	0.1142913273	0.9662261736	0.9662261736	0.9478419134	0.9478419134	0.9853376987	0.9853376987
39	0.966667003	0.113613357	0.966667003	0.966667003	0.9487526809	0.9487526809	0.9852708603	0.9852708603
40	0.9673066802	0.1116338495	0.9673066802	0.9673066802	0.9496753649	0.9496753649	0.9856050526	0.9856050526
41	0.9677348023	0.110889952	0.9677348023	0.9677348023	0.9505765948	0.9505765948	0.9855238181	0.9855238181
42	0.968110589	0.1101655596	0.968110589	0.968110589	0.9514496207	0.9514496207	0.9853654624	0.9853654624
43	0.9682681556	0.1074379645	0.9682681556	0.9682681556	0.9518250495	0.9518250495	0.9852893694	0.9852893694
44	0.9689544722	0.1062256929	0.9689544722	0.9689544722	0.9528542443	0.9528542443	0.9856081374	0.9856081374
45	0.969295493	0.1040033576	0.969295493	0.969295493	0.9536651796	0.9536651796	0.9854466968	0.9854466968
46	0.9699894191	0.1030712699	0.9699894191	0.9699894191	0.9549062527	0.9549062527	0.9855567232	0.9855567232
47	0.9703771579	0.1024667022	0.9703771579	0.9703771579	0.9557112742	0.9557112742	0.9855001676	0.9855001676
48	0.9706500003	0.1018782198	0.9706500003	0.9706500003	0.9562368609	0.9562368609	0.9855042807	0.9855042807
49	0.9710814947	0.1009672601	0.9710814947	0.9710814947	0.9569206227	0.9569206227	0.9856677779	0.9856677779
50	0.971319862	0.1003503063	0.971319862	0.971319862	0.9575894195	0.9575894195	0.9854497817	0.9854497817
51	0.9720886286	0.0983666108	0.9720886286	0.9720886286	0.9580770571	0.9580770571	0.9865161122	0.9865161122
52	0.9725785934	0.09633857481	0.9725785934	0.9725785934	0.9589021382	0.9589021382	0.9866508174	0.9866508174
53	0.9728461984	0.09574600961	0.9728461984	0.9728461984	0.9594964483	0.9594964483	0.9865726678	0.9865726678
54	0.9730657439	0.09500157582	0.9730657439	0.9730657439	0.9600463556	0.9600463556	0.986443104	0.986443104
55	0.9735783968	0.09315538825	0.9735783968	0.9735783968	0.9608068922	0.9608068922	0.9866940053	0.9866940053
56	0.9737902192	0.09212910325	0.9737902192	0.9737902192	0.9614412092	0.9614412092	0.9864605848	0.9864605848
57	0.9739978667	0.09159601054	0.9739978667	0.9739978667	0.9619184761	0.9619184761	0.9863844918	0.9863844918
58	0.9739896064	0.09008247993	0.9739896064	0.9739896064	0.9623918034	0.9623918034	0.9858703498	0.9858703498
59	0.9741834516	0.08830637494	0.9741834516	0.9741834516	0.9629047779	0.9629047779	0.9857294749	0.9857294749
60	0.9746161779	0.08719040022	0.9746161779	0.9746161779	0.963584615	0.963584615	0.9859032549	0.9859032549
61	0.975100044	0.0865472416	0.975100044	0.975100044	0.9640050646	0.9640050646	0.9864533869	0.9864533869
62	0.9753116481	0.08599848486	0.9753116481	0.9753116481	0.9644207502	0.9644207502	0.9864513303	0.9864513303
63	0.9755597749	0.08556333068	0.9755597749	0.9755597749	0.9649582537	0.9649582537	0.9863968312	0.9863968312
64	0.9758725625	0.08500586911	0.9758725625	0.9758725625	0.9653646551	0.9653646551	0.9866117426	0.9866117426
65	0.9762028649	0.0840739931	0.9762028649	0.9762028649	0.9658428133	0.9658428133	0.9867875792	0.9867875792
66	0.9764663987	0.08302501982	0.9764663987	0.9764663987	0.9662849399	0.9662849399	0.9868647005	0.9868647005
67	0.9768519319	0.08229531277	0.9768519319	0.9768519319	0.9667945697	0.9667945697	0.9871207432	0.9871207432
68	0.9771636707	0.08141872243	0.9771636707	0.9771636707	0.9672149313	0.9672149313	0.987319202	0.987319202
69	0.9772862271	0.08085517333	0.9772862271	0.9772862271	0.9675943611	0.9675943611	0.9871742139	0.9871742139
70	0.9773674891	0.0802704238	0.9773674891	0.9773674891	0.9678742841	0.9678742841	0.9870487633	0.9870487633
71	0.9774501332	0.07931682579	0.9774501332	0.9774501332	0.9681847941	0.9681847941	0.9868945207	0.9868945207
72	0.9777435309	0.07893090607	0.9777435309	0.9777435309	0.9686022048	0.9686022048	0.9870590461	0.9870590461
73	0.9777410285	0.07850238572	0.9777410285	0.9777410285	0.9689242746	0.9689242746	0.9867197124	0.9867197124
74	0.9779370629	0.07743797731	0.9779370629	0.9779370629	0.969211161	0.969211161	0.9868215125	0.9868215125
75	0.9780410718	0.0770837077	0.9780410718	0.9780410718	0.9696428553	0.9696428553	0.9865860355	0.9865860355
76	0.9782038104	0.07531321291	0.9782038104	0.9782038104	0.9701099652	0.9701099652	0.9864338495	0.9864338495
77	0.9783357897	0.07499208148	0.9783357897	0.9783357897	0.9704462403	0.9704462403	0.9863546716	0.9863546716
78	0.9785289341	0.07437894105	0.9785289341	0.9785289341	0.9708024913	0.9708024913	0.9863793504	0.9863793504
79	0.9786725409	0.07315275707	0.9786725409	0.9786725409	0.9711380558	0.9711380558	0.9863248514	0.9863248514
80	0.9788997843	0.07205842472	0.9788997843	0.9788997843	0.9715846762	0.9715846762	0.9863258796	0.9863258796
81	0.9791434137	0.07173372981	0.9791434137	0.9791434137	0.9719799176	0.9719799176	0.9864132838	0.9864132838
82	0.9793253992	0.07141362286	0.9793253992	0.9793253992	0.9724305873	0.9724305873	0.9863186817	0.9863186817
83	0.9796147605	0.07103953205	0.9796147605	0.9796147605	0.9728662989	0.9728662989	0.9864575	0.9864575
84	0.9796952682	0.07047932823	0.9796952682	0.9796952682	0.9731712291	0.9731712291	0.9863073705	0.9863073705
85	0.9799361372	0.0700977012	0.9799361372	0.9799361372	0.9734924208	0.9734924208	0.9864657263	0.9864657263
86	0.9799845827	0.06986254007	0.9799845827	0.9799845827	0.9737403393	0.9737403393	0.9863094271	0.9863094271
87	0.979972797	0.06905012741	0.979972797	0.979972797	0.9739266171	0.9739266171	0.9860945158	0.9860945158
88	0.9801234611	0.06865605481	0.9801234611	0.9801234611	0.9742774845	0.9742774845	0.9860400167	0.9860400167
89	0.9805745224	0.06738879462	0.9805745224	0.9805745224	0.9745585659	0.9745585659	0.9866652134	0.9866652134
90	0.9807718942	0.06712704613	0.9807718942	0.9807718942	0.9749525744	0.9749525744	0.9866611002	0.9866611002
91	0.9809020997	0.0663806103	0.9809020997	0.9809020997	0.9752943353	0.9752943353	0.9865747244	0.9865747244
92	0.9810955723	0.06544481641	0.9810955723	0.9810955723	0.9756568304	0.9756568304	0.98659529	0.98659529
93	0.9816840718	0.06464325982	0.9816840718	0.9816840718	0.975890882	0.975890882	0.9875464527	0.9875464527
94	0.9819452516	0.06349237733	0.9819452516	0.9819452516	0.9761771446	0.9761771446	0.9877819298	0.9877819298
95	0.9821588333	0.06293481035	0.9821588333	0.9821588333	0.9766416144	0.9766416144	0.9877387418	0.9877387418
96	0.9823870693	0.06265589275	0.9823870693	0.9823870693	0.9769964964	0.9769964964	0.9878374571	0.9878374571
97	0.9824299941	0.06237119191	0.9824299941	0.9824299941	0.9772937717	0.9772937717	0.9876204892	0.9876204892
98	0.9826465351	0.06164710209	0.9826465351	0.9826465351	0.9776690244	0.9776690244	0.9876749882	0.9876749882
99	0.9828709128	0.06072976239	0.9828709128	0.9828709128	0.9780760348	0.9780760348	0.9877130347	0.9877130347
100	0.9830182712	0.06048441399	0.9830182712	0.9830182712	0.978397187	0.978397187	0.9876832145	0.9876832145
101	0.9834078777	0.05970225329	0.9834078777	0.9834078777	0.9786242628	0.9786242628	0.9882384878	0.9882384878
102	0.983886445	0.05870016035	0.983886445	0.983886445	0.9788734115	0.9788734115	0.9889510886	0.9889510886
103	0.9839743081	0.0584420458	0.9839743081	0.9839743081	0.9791844652	0.9791844652	0.988811242	0.988811242
104	0.9840501031	0.05746239451	0.9840501031	0.9840501031	0.9793487161	0.9793487161	0.988796846	0.988796846
105	0.9841843508	0.05724203698	0.9841843508	0.9841843508	0.9796591002	0.9796591002	0.9887516016	0.9887516016
106	0.9842802077	0.05704455036	0.9842802077	0.9842802077	0.9798712912	0.9798712912	0.9887289793	0.9887289793
107	0.9843123262	0.05678347071	0.9843123262	0.9843123262	0.9801330107	0.9801330107	0.9885274356	0.9885274356
108	0.9843662644	0.05636540667	0.9843662644	0.9843662644	0.9802389678	0.9802389678	0.9885284639	0.9885284639
109	0.9844749233	0.05617537833	0.9844749233	0.9844749233	0.9805000148	0.9805000148	0.9884821911	0.9884821911
110	0.9845599351	0.05591733275	0.9845599351	0.9845599351	0.9806808281	0.9806808281	0.9884698517	0.9884698517
111	0.9848139766	0.05518471938	0.9848139766	0.9848139766	0.9808003378	0.9808003378	0.9888605997	0.9888605997
112	0.9849731645	0.05494802158	0.9849731645	0.9849731645	0.9811283217	0.9811283217	0.9888482602	0.9888482602
113	0.9850995794	0.05469114241	0.9850995794	0.9850995794	0.9813933932	0.9813933932	0.9888338643	0.9888338643
114	0.98524065	0.05368566185	0.98524065	0.98524065	0.9815873275	0.9815873275	0.9889212684	0.9889212684
115	0.9853051686	0.05338546685	0.9853051686	0.9853051686	0.9816870456	0.9816870456	0.9889500604	0.9889500604
116	0.9854970752	0.05305864665	0.9854970752	0.9854970752	0.9819251834	0.9819251834	0.9890950484	0.9890950484
117	0.9855640907	0.05230807636	0.9855640907	0.9855640907	0.982067377	0.982067377	0.9890857938	0.9890857938
118	0.9858051363	0.05182208417	0.9858051363	0.9858051363	0.9821841785	0.9821841785	0.9894528912	0.9894528912
119	0.9858581616	0.05154213076	0.9858581616	0.9858581616	0.982289457	0.982289457	0.9894528912	0.9894528912
120	0.9858963863	0.05139001682	0.9858963863	0.9858963863	0.9823765069	0.9823765069	0.9894415801	0.9894415801
121	0.9859027208	0.05125056524	0.9859027208	0.9859027208	0.9824407886	0.9824407886	0.9893891376	0.9893891376
122	0.9859314839	0.05112588209	0.9859314839	0.9859314839	0.9824999413	0.9824999413	0.9893870811	0.9893870811
123	0.985939885	0.05101219359	0.985939885	0.985939885	0.9825653061	0.9825653061	0.9893377234	0.9893377234
124	0.9860227974	0.05082607798	0.9860227974	0.9860227974	0.9827259533	0.9827259533	0.9893418366	0.9893418366
125	0.9861204493	0.05048405146	0.9861204493	0.9861204493	0.9829108376	0.9829108376	0.9893510911	0.9893510911
126	0.9861342964	0.05036892716	0.9861342964	0.9861342964	0.9830683062	0.9830683062	0.9892194708	0.9892194708
127	0.986126994	0.0501487701	0.986126994	0.986126994	0.9831421572	0.9831421572	0.9891300101	0.9891300101
128	0.9861366383	0.04969350341	0.9861366383	0.9861366383	0.9833391783	0.9833391783	0.9889500604	0.9889500604
129	0.9862054963	0.04939228564	0.9862054963	0.9862054963	0.9835056164	0.9835056164	0.9889202401	0.9889202401
130	0.9863325577	0.04906220614	0.9863325577	0.9863325577	0.9837125954	0.9837125954	0.9889665129	0.9889665129
131	0.9864204944	0.04885901648	0.9864204944	0.9864204944	0.9838560032	0.9838560032	0.9889983897	0.9889983897
132	0.9865235275	0.04846013496	0.9865235275	0.9865235275	0.9839989279	0.9839989279	0.989061115	0.989061115
133	0.9866270614	0.0483340665	0.9866270614	0.9866270614	0.9841438735	0.9841438735	0.9891228121	0.9891228121
134	0.9866056958	0.04824413794	0.9866056958	0.9866056958	0.9841848377	0.9841848377	0.9890384928	0.9890384928
135	0.9868803446	0.04770132437	0.9868803446	0.9868803446	0.9843628674	0.9843628674	0.9894107316	0.9894107316
136	0.9869497604	0.0475203376	0.9869497604	0.9869497604	0.9845722788	0.9845722788	0.9893387517	0.9893387517
137	0.9870601752	0.04724386573	0.9870601752	0.9870601752	0.9847105755	0.9847105755	0.9894210144	0.9894210144
138	0.9871385358	0.04700471962	0.9871385358	0.9871385358	0.9848757335	0.9848757335	0.9894117599	0.9894117599
139	0.9872777505	0.04660267675	0.9872777505	0.9872777505	0.9849990379	0.9849990379	0.9895670307	0.9895670307
140	0.9873470969	0.04648067331	0.9873470969	0.9873470969	0.9851401581	0.9851401581	0.9895639459	0.9895639459
141	0.9873807486	0.04630434929	0.9873807486	0.9873807486	0.9852295879	0.9852295879	0.9895413236	0.9895413236
142	0.9874922147	0.04604863679	0.9874922147	0.9874922147	0.9853700041	0.9853700041	0.9896235864	0.9896235864
143	0.9874810918	0.04590424778	0.9874810918	0.9874810918	0.9855069347	0.9855069347	0.9894631741	0.9894631741
144	0.9875626154	0.04577915444	0.9875626154	0.9875626154	0.985633632	0.985633632	0.989499164	0.989499164
145	0.987562152	0.04566706807	0.987562152	0.987562152	0.9857102612	0.9857102612	0.9894210144	0.9894210144
146	0.9875824819	0.04553397936	0.9875824819	0.9875824819	0.9858273316	0.9858273316	0.9893438931	0.9893438931
147	0.9875893614	0.04546375725	0.9875893614	0.9875893614	0.9858583996	0.9858583996	0.9893264123	0.9893264123
148	0.9876477306	0.04533324594	0.9876477306	0.9876477306	0.9860094637	0.9860094637	0.9892914506	0.9892914506
149	0.9877696623	0.0449940126	0.9877696623	0.9877696623	0.9861084921	0.9861084921	0.9894364387	0.9894364387
150	0.9879254514	0.0447469823	0.9879254514	0.9879254514	0.9862423257	0.9862423257	0.9896143318	0.9896143318
151	0.9882309716	0.04443379778	0.9882309716	0.9882309716	0.9863223612	0.9863223612	0.9901469829	0.9901469829
152	0.9882345696	0.04431333672	0.9882345696	0.9882345696	0.9863683067	0.9863683067	0.9901079081	0.9901079081
153	0.9882424183	0.04425452946	0.9882424183	0.9882424183	0.9864063984	0.9864063984	0.9900852859	0.9900852859
154	0.9882432034	0.04420128072	0.9882432034	0.9882432034	0.9864273559	0.9864273559	0.9900657485	0.9900657485
155	0.9882907443	0.04398986911	0.9882907443	0.9882907443	0.9864904462	0.9864904462	0.9900976253	0.9900976253
156	0.9881725778	0.04394214952	0.9881725778	0.9881725778	0.9865112347	0.9865112347	0.989839526	0.989839526
